ChangedType,Dynamic?,AddedTag,addedXpath,typeChanged,oldType,oldTag,oldXpath,newType,newTag,newXpath,removedTag,removedXpath,DOM,CV,Result,Vista,GroundTruth
[NODE_REMOVED],,,,,,,,,,,a,/html/body/div[5]/div[2]/div[1]/div[2]/div[7]/div[1]/a[1],TP,TP,TP,TP,D
[NODE_ADDED],,div,/html/body/div[5]/div[2]/div[1]/div[2]/div[6],,,,,,,,,,TP,FP,TP,NA,???? A
[NODE_REMOVED],,,,,,,,,,,ul,/html/body/div[5]/div[2]/div[1]/div[2]/ul[2],TP,FP,TP,FP,>???? >????? D
[NODE_ADDED],Y,span,/html/body/div[5]/div[2]/div[1]/div[2]/div[5]/div[1]/dl[7]/dd[1]/p[1]/span[1],,,,,,,,,,FP,,,,
[NODE_ADDED],Y,span,/html/body/div[5]/div[2]/div[1]/div[2]/div[5]/div[1]/dl[6]/dd[1]/p[1]/span[1],,,,,,,,,,FP,,,,
[NODE_ADDED],Y,span,/html/body/div[5]/div[2]/div[1]/div[2]/div[5]/div[1]/dl[4]/dd[1]/p[1]/span[1],,,,,,,,,,FP,,,,
[NODE_REMOVED],Y,,,,,,,,,,ul,/html/body/div[5]/div[2]/div[1]/div[2]/div[4]/div[2]/ul[2],FP,,,,
[PROP_CHANGED],,,,id,<amazon-book-chart-hd>,li,/html/body/div[5]/div[2]/div[1]/div[2]/div[4]/div[2]/ul[1]/li[2],<jd-book-chart-hd>,li,/html/body/div[5]/div[2]/div[1]/div[2]/div[4]/div[2]/ul[1]/li[1],,,FP,TP,TP,FP,??? D
[NODE_REMOVED],,,,,,,,,,,li,/html/body/div[5]/div[2]/div[1]/div[2]/div[4]/div[2]/ul[1]/li[1],FP,TP,TP,TP,?? U
[NODE_ADDED],,div,/html/body/div[6],,,,,,,,,,TP,FN,TP,NA,invisible div A
[NODE_ADDED],,div,/html/body/div[5]/div[2]/div[1]/div[2]/div[1]/div[1],,,,,,,,,,TP,FN,TP,NA,invisible div A
[NODE_REMOVED],,,,,,,,,,,iframe,/html/body/div[5]/div[2]/div[1]/div[2]/div[1]/iframe[1],TP,FN,TP,TP,invisible iframe D
[PROP_CHANGED],,,,id,<>,div,/html/body/div[5]/div[2]/div[1]/div[1]/div[7],<reviews>,div,/html/body/div[5]/div[2]/div[1]/div[1]/div[8],,,TP,FP,TP,FP,???div U
[PROP_CHANGED],,,,class,<bd>,div,/html/body/div[5]/div[2]/div[1]/div[1]/div[7]/div[2],<reviews-bd>,div,/html/body/div[5]/div[2]/div[1]/div[1]/div[8]/div[2],,,TP,FP,TP,FP,subdiv of???div U
[NODE_ADDED],Y,div,/html/body/div[5]/div[2]/div[1]/div[1]/div[8]/div[2]/div[4],,,,,,,,,,FP,,,,
[NODE_ADDED],Y,div,/html/body/div[5]/div[2]/div[1]/div[1]/div[8]/div[2]/div[3],,,,,,,,,,FP,,,,
[NODE_ADDED],Y,div,/html/body/div[5]/div[2]/div[1]/div[1]/div[8]/div[2]/div[2],,,,,,,,,,FP,,,,
[NODE_ADDED],Y,div,/html/body/div[5]/div[2]/div[1]/div[1]/div[8]/div[2]/div[1],,,,,,,,,,FP,,,,
[NODE_REMOVED],Y,,,,,,,,,,ul,/html/body/div[5]/div[2]/div[1]/div[1]/div[7]/div[2]/ul[1],FP,,,,
[NODE_ADDED],,div,/html/body/div[5]/div[2]/div[1]/div[3]/div[1],,,,,,,,,,TP,FN,TP,NA,invisible div A
[PROP_CHANGED],,,,class,<hd>,div,/html/body/div[5]/div[2]/div[1]/div[1]/div[7]/div[1],<reviews-hd>,div,/html/body/div[5]/div[2]/div[1]/div[1]/div[8]/div[1],,,TP,FP,TP,FP,U
[NODE_ADDED],,a,/html/body/div[5]/div[2]/div[1]/div[1]/div[8]/div[1]/h2[1]/span[1]/a[1],,,,,,,,,,TP,FP,TP,NA,?????? A
[NODE_ADDED],Y,span,/html/body/div[5]/div[2]/div[1]/div[1]/div[6]/div[2]/div[1]/div[2]/p[1]/span[2],,,,,,,,,,FP,,,,
[NODE_REMOVED],Y,,,,,,,,,,p,/html/body/div[5]/div[2]/div[1]/div[1]/div[3]/div[2]/ul[1]/li[10]/div[2]/p[5],FP,,,,
[PROP_CHANGED],Y,,,class,<allstar40 star-img>,span,/html/body/div[5]/div[2]/div[1]/div[1]/div[3]/div[2]/ul[1]/li[10]/div[2]/p[1]/span[1],<allstar45 star-img>,span,/html/body/div[5]/div[2]/div[1]/div[1]/div[4]/div[2]/ul[1]/li[10]/div[2]/p[1]/span[1],,,FP,,,,
[PROP_CHANGED],Y,,,class,<ml8>,span,/html/body/div[5]/div[2]/div[1]/div[1]/div[3]/div[2]/ul[1]/li[9]/div[2]/p[1]/span[3],<average-rating>,span,/html/body/div[5]/div[2]/div[1]/div[1]/div[4]/div[2]/ul[1]/li[9]/div[2]/p[1]/span[2],,,FP,,,,
[PROP_CHANGED],Y,,,class,<average-rating>,span,/html/body/div[5]/div[2]/div[1]/div[1]/div[3]/div[2]/ul[1]/li[9]/div[2]/p[1]/span[2],<allstar45 star-img>,span,/html/body/div[5]/div[2]/div[1]/div[1]/div[4]/div[2]/ul[1]/li[9]/div[2]/p[1]/span[1],,,FP,,,,
[NODE_REMOVED],Y,,,,,,,,,,span,/html/body/div[5]/div[2]/div[1]/div[1]/div[3]/div[2]/ul[1]/li[9]/div[2]/p[1]/span[1],FP,,,,
[NODE_ADDED],,div,/html/body/div[5]/div[2]/div[1]/div[2]/div[9]/div[1],,,,,,,,,,TP,FN,TP,NA,invisible div A
[NODE_REMOVED],Y,,,,,,,,,,span,/html/body/div[5]/div[2]/div[1]/div[1]/div[3]/div[2]/ul[1]/li[8]/div[2]/p[4]/span[1],FP,,,,
[PROP_CHANGED],Y,,,class,<allstar35 star-img>,span,/html/body/div[5]/div[2]/div[1]/div[1]/div[3]/div[2]/ul[1]/li[8]/div[2]/p[1]/span[1],<allstar45 star-img>,span,/html/body/div[5]/div[2]/div[1]/div[1]/div[4]/div[2]/ul[1]/li[8]/div[2]/p[1]/span[1],,,FP,,,,
[PROP_CHANGED],Y,,,class,<ml8>,span,/html/body/div[5]/div[2]/div[1]/div[1]/div[3]/div[2]/ul[1]/li[7]/div[2]/p[1]/span[3],<average-rating>,span,/html/body/div[5]/div[2]/div[1]/div[1]/div[4]/div[2]/ul[1]/li[7]/div[2]/p[1]/span[2],,,FP,,,,
[PROP_CHANGED],Y,,,class,<average-rating>,span,/html/body/div[5]/div[2]/div[1]/div[1]/div[3]/div[2]/ul[1]/li[7]/div[2]/p[1]/span[2],<allstar40 star-img>,span,/html/body/div[5]/div[2]/div[1]/div[1]/div[4]/div[2]/ul[1]/li[7]/div[2]/p[1]/span[1],,,FP,,,,
[NODE_REMOVED],Y,,,,,,,,,,span,/html/body/div[5]/div[2]/div[1]/div[1]/div[3]/div[2]/ul[1]/li[7]/div[2]/p[1]/span[1],FP,,,,
[NODE_REMOVED],Y,,,,,,,,,,span,/html/body/div[5]/div[2]/div[1]/div[1]/div[3]/div[2]/ul[1]/li[6]/div[2]/p[4]/span[1],FP,,,,
[PROP_CHANGED],Y,,,class,<allstar40 star-img>,span,/html/body/div[5]/div[2]/div[1]/div[1]/div[3]/div[2]/ul[1]/li[4]/div[2]/p[1]/span[1],<allstar50 star-img>,span,/html/body/div[5]/div[2]/div[1]/div[1]/div[4]/div[2]/ul[1]/li[4]/div[2]/p[1]/span[1],,,FP,,,,
[NODE_ADDED],Y,span,/html/body/div[5]/div[2]/div[1]/div[1]/div[4]/div[2]/ul[1]/li[3]/div[2]/p[4]/span[1],,,,,,,,,,FP,,,,
[PROP_CHANGED],Y,,,class,<allstar45 star-img>,span,/html/body/div[5]/div[2]/div[1]/div[1]/div[3]/div[2]/ul[1]/li[2]/div[2]/p[1]/span[1],<allstar50 star-img>,span,/html/body/div[5]/div[2]/div[1]/div[1]/div[4]/div[2]/ul[1]/li[2]/div[2]/p[1]/span[1],,,FP,,,,
[NODE_ADDED],,div,/html/body/div[5]/div[2]/div[1]/div[1]/div[3],,,,,,,,,,TP,TP,TP,NA,????div A
[NODE_REMOVED],,,,,,,,,,,iframe,/html/body/div[5]/div[2]/div[1]/div[2]/div[8]/iframe[1],TP,FN,TP,TP,invisible iframe D
[NODE_ADDED],,iframe,/html/body/div[5]/div[2]/div[1]/div[1]/div[2]/iframe[1],,,,,,,,,,TP,FN,TP,NA,invisible iframe A
[NODE_REMOVED],Y,,,,,,,,,,div,/html/body/div[5]/div[2]/div[1]/div[1]/div[1]/div[2]/div[1]/div[1]/ul[1]/li[5]/div[2],FP,,,,
[NODE_REMOVED],Y,,,,,,,,,,div,/html/body/div[5]/div[2]/div[1]/div[1]/div[1]/div[2]/div[1]/div[1]/ul[1]/li[4]/div[2],FP,,,,
[NODE_REMOVED],Y,,,,,,,,,,div,/html/body/div[5]/div[2]/div[1]/div[1]/div[1]/div[2]/div[1]/div[1]/ul[1]/li[3]/div[2],FP,,,,
[NODE_REMOVED],Y,,,,,,,,,,div,/html/body/div[5]/div[2]/div[1]/div[1]/div[1]/div[2]/div[1]/div[1]/ul[1]/li[2]/div[2],FP,,,,
[NODE_REMOVED],Y,,,,,,,,,,div,/html/body/div[5]/div[2]/div[1]/div[1]/div[1]/div[2]/div[1]/div[1]/ul[1]/li[1]/div[2],FP,,,,
[NODE_ADDED],,a,/html/body/div[4]/div[2]/a[1],,,,,,,,,,TP,TP,TP,NA,2018?????? A
[NODE_REMOVED],,,,,,,,,,,li,/html/body/div[4]/div[2]/ul[1]/li[4],TP,FN,TP,FP,?? D
[NODE_REMOVED],,,,,,,,,,,li,/html/body/div[4]/div[2]/ul[1]/li[3],FP,TP,TP,FP,???? U
[NODE_ADDED],,div,/html/body/div[5]/div[2]/div[1]/div[2]/div[8]/div[2],,,,,,,,,,TP,FN,TP,NA,invisible div A
[NODE_REMOVED],,,,,,,,,,,li,/html/body/div[4]/div[2]/ul[1]/li[2],FP,TP,TP,TP,??? U
[NODE_ADDED],,ul,/html/body/div[4]/div[2]/div[1]/ul[1],,,,,,,,,,FP,FP,FP,FN,nav below ???? U
[NODE_REMOVED],,,,,,,,,,,li,/html/body/div[4]/div[2]/ul[1]/li[1],TP,FP,TP,FP,???? D
[NODE_REMOVED],,,,,,,,,,,tr,/html/body/div[3]/div[1]/div[3]/ul[1]/li[11]/div[1]/table[1]/tbody[1]/tr[1],TP,TP,TP,TP,invisible. D
[PROP_CHANGED],,,,id,<doubanapp-tip>,div,/html/body/div[3]/div[1]/div[2]/div[2],<top-nav-appintro>,div,/html/body/div[3]/div[1]/div[2]/div[2],,,TP,FP,TP,FP,U
[NODE_ADDED],,div,/html/body/div[3]/div[1]/div[2]/div[2]/div[1],,,,,,,,,,FP,TP,TP,FN,download??? U
[NODE_ADDED],,p,/html/body/div[3]/div[1]/div[2]/div[2]/p[2],,,,,,,,,,FP,FN,FP,FN,?????? U
[NODE_REMOVED],,,,,,,,,,,a,/html/body/div[3]/div[1]/div[2]/div[2]/a[2],FP,FP,FP,FN,tip-close <a> U
[NODE_ADDED],,p,/html/body/div[3]/div[1]/div[2]/div[2]/p[1],,,,,,,,,,FP,TP,TP,,??in ???????popup DU
[PROP_CHANGED],,,,id,<>,div,/html/body/div[5]/div[2]/div[1]/div[2]/div[7]/div[1],<dale_book_home_inner_middle>,div,/html/body/div[5]/div[2]/div[1]/div[2]/div[8]/div[1],,,TP,,,,
[NODE_REMOVED],,,,,,,,,,,a,/html/body/div[3]/div[1]/div[2]/div[2]/a[1],TP,TP,TP,TP,??4.0???? D
[PROP_CHANGED],,,,id,<top-nav-appintro>,div,/html/body/div[3]/div[1]/div[2]/div[1],<doubanapp-tip>,div,/html/body/div[3]/div[1]/div[2]/div[1],,,TP,FP,TP,FN,U
[NODE_REMOVED],,,,,,,,,,,div,/html/body/div[3]/div[1]/div[2]/div[1]/div[1],FP,,,,
[NODE_REMOVED],,,,,,,,,,,p,/html/body/div[3]/div[1]/div[2]/div[1]/p[3],FP,,,,
[NODE_ADDED],,a,/html/body/div[3]/div[1]/div[2]/div[1]/a[2],,,,,,,,,,FP,,,,
[NODE_REMOVED],,,,,,,,,,,p,/html/body/div[3]/div[1]/div[2]/div[1]/p[2],TP,FP,TP,TP,???????in ??????? D
[NODE_ADDED],,a,/html/body/div[3]/div[1]/div[2]/div[1]/a[1],,,,,,,,,,FP,,,,
[NODE_REMOVED],,,,,,,,,,,p,/html/body/div[3]/div[1]/div[2]/div[1]/p[1],FP,,,,
[PROP_CHANGED],,,,class,<nav-register>,a,/html/body/div[3]/div[1]/div[1]/a[2],<nav-login>,a,/html/body/div[3]/div[1]/div[1]/a[1],,,TP,TP,TP,TP,?? U
[PROP_CHANGED],,,,class,<qrcode-app>,div,/html/body/div[5]/div[2]/div[1]/div[2]/div[7]/div[1],<>,div,/html/body/div[5]/div[2]/div[1]/div[2]/div[8]/div[1],,,TP,,,,
[NODE_REMOVED],,,,,,,,,,,a,/html/body/div[3]/div[1]/div[1]/a[1],FP,TP,TP,TP,?? U
[NODE_ADDED],,iframe,/html/body/div[5]/div[2]/div[1]/div[2]/div[8]/div[1]/iframe[1],,,,,,,,,,TP,FN,TP,NA,invisible iframe A
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
* Changed elements not detected by WebEvo,,,,,,,,,,,,,,,,,
ADD,,DELETE,,,,,,,,,,,,,,,
2018?????,,??,,,,,,,,,,,,,,,
???,,??,,,,,,,,,,,,,,,
??,,,,,,,,,,,,,,,,,
??,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
"* A/U/D in GroundTruth column indicates element is added/updated/deleted. Note w/o A/U/D means the element has already been counted, don't double count.",,,,,,,,,,,,,,,,,
